MOEX,ПАО Московская Биржа,MOEX,186.8
MORI,Морион ПАО ао,MORI,4.31
MRKC,"""МРСК Центра"" ПАО ао",MRKC,0.42
MRKK,Россети Сев. Кавказ ао,MRKK,25.22
MRKP,МРСК Центр. и Приволж. ао,MRKP,0.283
MRKS,Россети Сибирь ао,MRKS,0.32
MRKU,МРСК Урала (ОАО) ао,MRKU,0.1488
MRKV,Россети Волга ао,MRKV,0.0612
MRKY,Россети Юг  (ПАО) ао,MRKY,0.0459
MRKZ,МРСК Северо-Запада ао,MRKZ,0.0492
MRSB,Мордовск.энергсбыт.комп.ПАО ао,MRSB,0.424
MSNG,МосЭнерго акции обыкн.,MSNG,2.2855
MSRS,ПАО Россети Моск.рег. ао,MSRS,1.23
MSTT,"ПАО ""МОСТОТРЕСТ"" ао",MSTT,107.75
MTLR,Мечел ПАО ао,MTLR,78.47
MTLRP,Мечел ПАО ап,MTLRP,80.45
MTSS,Мобильные ТелеСистемы ПАО ао,MTSS,323.4
MVID,"""М.видео"" ПАО ао",MVID,698.1
NAUK,НПО Наука ао,NAUK,196.4
NFAZ,Нефтекамский автозавод ПАО ао,NFAZ,357.4
NKHP,НКХП ПАО ао,NKHP,362.5
NKNC,"""Нижнекамскнефтехим"" ПАО ао",NKNC,93.0
NKNCP,"""Нижнекамскнефтехим"" ПАО ап",NKNCP,78.6
NKSH,Нижнекамскшина ПАО ао,NKSH,21.5
NLMK,"ПАО ""НЛМК"" ао",NLMK,274.62
NMTP,НМТП (ПАО) ао,NMTP,7.45
NNSB,ТНС энерго Нижний Новг.ПАО ао,NNSB,2240.0
NNSBP,ТНС энерго Нижний Новг.ПАО ап,NNSBP,562.0
NPOF,"ОАО ""НПО Физика"" ао",NPOF,11850.0
NSVZ,Наука-Связь ПАО ао,NSVZ,203.5
NVTK,"ПАО ""НОВАТЭК"" ао",NVTK,1415.8
OGKB,ОГК-2 ПАО ао,OGKB,0.8355
OKEY,ГДР OKEY Group S.A. ORD SHS,OKEY,55.7
OMZZP,"ап""Объединён.  маш. заводы""",OMZZP,4245.0
ORUP,"ПАО ""ОР"" ао",ORUP,26.66
OZON,АДР Ozon Holdings PLC ORD SHS,OZON,4433.5
PAZA,Павловский автобус ПАО ао,PAZA,7500.0
