NVTK,"ПАО ""НОВАТЭК"" ао",NVTK,1449.4
OGKB,ОГК-2 ПАО ао,OGKB,0.8204
OKEY,ГДР OKEY Group S.A. ORD SHS,OKEY,57.9
OMZZP,"ап""Объединён.  маш. заводы""",OMZZP,4220.0
ORUP,"ПАО ""ОР"" ао",ORUP,27.75
OZON,АДР Ozon Holdings PLC ORD SHS,OZON,4804.5
PAZA,Павловский автобус ПАО ао,PAZA,7400.0
PHOR,ФосАгро ПАО ао,PHOR,4438.0
PIKK,ПИК СЗ (ПАО) ао,PIKK,965.3
PLZL,Полюс ПАО ао,PLZL,15732.5
PMSB,"""Пермэнергосбыт"" ПАО ао",PMSB,150.7
PMSBP,"""Пермэнергосбыт"" ПАО ап",PMSBP,148.6
POGR,Petropavlovsk PLC,POGR,29.34
POLY,Polymetal International plc,POLY,1707.7
PRMB,"АКБ ""Приморье"" ао",PRMB,29200.0
QIWI,QIWI PLC,QIWI,811.5
RASP,ПАО Распадская ао,RASP,249.0
RAVN,Raven Property Group Limited,RAVN,28.15
RBCM,РБК ПАО ао,RBCM,4.016
RDRB,РоссийскийДорож Банк ПАО ао,RDRB,240.0
RGSS,Росгосстрах СК ПАО ао,RGSS,0.2356
RKKE,РКК Энергия им.С.П.Королева ао,RKKE,7650.0
RNFT,РуссНефть НК ПАО ао,RNFT,168.0
ROLO,"""Русолово"" ПАО ао",ROLO,10.745
ROSB,РОСБАНК ПАО ао,ROSB,79.0
ROSN,ПАО НК Роснефть,ROSN,543.3
ROST,РОСИНТЕР РЕСТОРАНТС (ПАО),ROST,69.4
RSTI,"""Российские сети"" ПАО ао",RSTI,1.4672
RSTIP,"""Российские сети"" ПАО ап",RSTIP,2.062
RTGZ,Газпром газорасп Р-н-Д ПАО ао,RTGZ,39100.0
RTKM,Ростелеком (ПАО) ао.,RTKM,106.16
RTKMP,Ростелеком (ПАО) ап.,RTKMP,91.0
RTSB,ТНС энерго Ростов. ПАО ао,RTSB,0.51
RTSBP,ТНС энерго Ростов. ПАО ап,RTSBP,0.487
RUAL,РУСАЛ ОК МКПАО ао,RUAL,54.2
RUGR,Русгрэйн Холдинг ПАО ао,RUGR,12.8
RUSI,РУСС-ИНВЕСТ ИК ПАО ао,RUSI,48.0
RUSP,Русполимет ПАО ао,RUSP,0.747
RZSB,"""Рязанская энергосб.комп"" ПАО",RZSB,17.1
SAGO,Самараэнерго (ПАО) - ао,SAGO,0.668
SAGOP,Самараэнерго (ПАО) - ап,SAGOP,0.545
SARE,Саратовэнерго(ПАО)-ао,SARE,0.1254
SAREP,Саратовэнерго(ПАО)-ап,SAREP,0.1062
SBER,Сбербанк России ПАО ао,SBER,292.21
SBERP,Сбербанк России ПАО ап,SBERP,276.5
SELG,"ПАО ""Селигдар""  ао",SELG,45.02
SELGP,"ПАО ""Селигдар"" ап",SELGP,43.55
SFIN,САФМАР Фин.Инвестиции ПАО ао,SFIN,481.0
SIBN,Газпром нефть ПАО ао,SIBN,358.0
SLEN,"ПАО ""Сахалинэнерго"" ао",SLEN,6.3
SMLT,ГК Самолет ао,SMLT,1547.8
SNGS,Сургутнефтегаз ПАО акции об.,SNGS,35.615
SNGSP,Сургутнефтегаз ПАО ап,SNGSP,43.55
STSB,Ставрополэнергосбыт ПАО ао,STSB,0.6045
STSBP,Ставрополэнергосбыт ПАО ап,STSBP,0.5385
SVAV,"ОАО ""СОЛЛЕРС"" ао",SVAV,240.0
