STSB,Ставрополэнергосбыт ПАО ао,STSB,0.5915
STSBP,Ставрополэнергосбыт ПАО ап,STSBP,0.562
SVAV,"ОАО ""СОЛЛЕРС"" ао",SVAV,221.0
TASB,"ао""Тамбов.энергсбыт.комп.""ПАО",TASB,0.4635
TASBP,"ап""Тамбов.энергсбыт.комп.""ПАО",TASBP,0.38
TATN,"ПАО ""Татнефть"" ао",TATN,515.0
TATNP,"ПАО ""Татнефть"" ап 3 вып.",TATNP,481.2
TCSG,ГДР TCS Group Holding ORD SHS,TCSG,4520.0
TGKA,"ао ПАО ""ТГК-1""",TGKA,0.012298
TGKB,"ао ПАО ""ТГК-2""",TGKB,0.00436
TGKBP,"ап ПАО ""ТГК-2""",TGKBP,0.00679
TGKD,Квадра ПАО ао,TGKD,0.00701
TGKDP,Квадра ПАО ап,TGKDP,0.00583
TGKN,"ао ПАО ""ТГК-14""",TGKN,0.00305
TNSE,"ПАО ГК ""ТНС энерго"" ао",TNSE,975.0
TORS,"ао ""Томская распределит.комп.""",TORS,0.378
TORSP,"ап ""Томская распределит.комп.""",TORSP,0.271
TRCN,ТрансКонтейнер ПАО ао,TRCN,8595.0
TRFM,ПАО ТрансФин-М ао,TRFM,
TRMK,ПАО ТМК,TRMK,75.08
TRNFP,Транснефть ПАО акц.пр.,TRNFP,139500.0
TTLK,"""Таттелеком"" ПАО ао",TTLK,0.623
TUZA,Туймаз. завод автобетоновозов,TUZA,94.5
UCSS,ПАО ОКС ао,UCSS,1060.0
UKUZ,Южный Кузбасс ПАО ао,UKUZ,586.0
UNAC,Об.авиастр.корп. ПАО ао,UNAC,0.575
UNKL,Южно-Уральский никел. комб. ао,UNKL,9580.0
UPRO,Юнипро ПАО ао,UPRO,2.841
URKA,Уралкалий ПАО ао,URKA,119.04
URKZ,"ПАО ""Уральская кузница"" ао",URKZ,17240.0
USBN,БАНК УРАЛСИБ ПАО ао,USBN,0.074
UTAR,"Авиакомания ""ЮТэйр"" (ПАО) ао",UTAR,6.92
UWGN,ПАО НПК ОВК ао,UWGN,84.9
VGSB,"""Волгоград.энергосбыткомп"" ПАО",VGSB,3.885
VGSBP,"""Волгоград.энергосбыткомп"" ПАО",VGSBP,1.995
VJGZ,Варьеганнефтегаз ПАО ао,VJGZ,1933.0
VJGZP,Варьеганнефтегаз ПАО ап,VJGZP,638.0
VLHZ,Владимирский химич.з-д(ПАО) ао,VLHZ,72.35
VRSB,ТНС энерго Воронеж ПАО ао,VRSB,67.4
VRSBP,ТНС энерго Воронеж ПАО ап,VRSBP,42.0
VSMO,Корп. ВСМПО-АВИСМА (ПАО) ао,VSMO,24960.0
VSYD,Выборгский Суд.Завод ПАО ао,VSYD,4875.0
VSYDP,Выборгский Суд.Завод ПАО ап,VSYDP,4760.0
VTBR,ао ПАО Банк ВТБ,VTBR,0.05428
VZRZ,"Банк ""Возрождение""-ао",VZRZ,480.0
VZRZP,"Банк ""Возрождение"" - ап",VZRZP,255.2
WTCM,"""Центр междун. торговли""ПАО ао",WTCM,10.0
WTCMP,"""Центр междун. торговли""ПАО ап",WTCMP,9.0
YAKG,Якутская топл.-энерг. комп. ао,YAKG,115.65
YKEN,"АК ""Якутскэнерго"" (ПАО) ао",YKEN,0.438
YKENP,"АК ""Якутскэнерго"" (ПАО) ап",YKENP,0.3655
YNDX,PLLC Yandex N.V. class A shs,YNDX,4831.2
YRSB,ТНС энерго Ярославль ПАО ао,YRSB,224.0
YRSBP,ТНС энерго Ярославль ПАО ап,YRSBP,92.0
ZILL,Завод им. И.А.Лихачева ПАО ао,ZILL,3700.0
ZVEZ,ЗВЕЗДА ПАО ао,ZVEZ,4.195
